Income,1,2,3,4,5,6
45000,392,686,925,1122,1285,1313
45100,394,688,927,1124,1287,1317
45200,395,689,929,1126,1290,1321
45300,397,691,931,1129,1292,1325
45400,398,692,933,1131,1295,1329
45500,400,694,935,1133,1297,1333
45600,402,695,937,1135,1300,1337
45700,403,697,939,1138,1302,1341
45800,405,698,941,1140,1305,1345
45900,407,700,943,1142,1307,1349
46000,408,701,945,1144,1310,1353
46100,409,702,947,1146,1312,1357
46200,410,704,948,1148,1315,1361
46300,412,705,950,1150,1317,1365
46400,413,706,952,1152,1319,1369
46500,414,707,954,1154,1321,1373
46600,415,709,955,1156,1324,1377
46700,417,710,957,1158,1326,1381
46800,418,711,959,1160,1328,1385
46900,419,713,960,1162,1330,1389
47000,420,714,962,1164,1333,1394
47100,421,715,964,1166,1335,1398
47200,422,716,965,1168,1337,1402
47300,423,717,967,1170,1339,1406
47400,424,718,968,1171,1342,1410
47500,425,720,970,1173,1344,1414
47600,427,721,971,1175,1346,1419
47700,428,722,973,1177,1348,1423
47800,429,723,974,1179,1350,1427
47900,430,724,976,1181,1352,1431
48000,431,725,977,1183,1355,1435
48100,432,726,978,1184,1357,1438
48200,433,727,979,1186,1358,1441
48300,434,727,981,1187,1360,1445
48400,435,728,982,1189,1362,1448
48500,436,729,983,1190,1363,1451
48600,437,730,984,1192,1365,1454
48700,437,731,985,1193,1367,1458
48800,438,731,987,1195,1368,1461
48900,439,732,988,1196,1370,1464
49000,440,733,989,1198,1372,1467
49100,441,734,990,1200,1374,1471
49200,442,735,992,1202,1376,1475
49300,443,736,993,1203,1378,1479
49400,444,737,995,1205,1380,1483
49500,445,738,996,1207,1382,1487
49600,446,740,998,1209,1385,1491
49700,447,741,999,1211,1387,1495
49800,448,742,1000,1213,1389,1499
49900,449,743,1002,1214,1391,1503
50000,450,744,1003,1216,1393,1507
50100,451,745,1005,1218,1395,1511
50200,453,747,1006,1220,1397,1515
50300,454,748,1008,1222,1400,1519
50400,455,749,1009,1224,1402,1524
50500,456,751,1011,1225,1404,1528
50600,458,752,1012,1227,1406,1532
50700,459,753,1014,1229,1408,1536
50800,460,755,1015,1231,1410,1540
50900,461,756,1017,1233,1413,1544
51000,463,757,1019,1235,1415,1548
51100,464,759,1021,1237,1417,1552
51200,465,761,1022,1239,1420,1557
51300,467,762,1024,1241,1422,1561
51400,468,764,1026,1243,1424,1565
51500,469,766,1027,1245,1426,1570
51600,470,768,1029,1247,1429,1574
51700,472,769,1030,1249,1431,1578
51800,473,771,1032,1251,1433,1582
51900,474,773,1034,1253,1436,1587
52000,475,775,1035,1255,1438,1591
52100,476,777,1037,1257,1440,1594
52200,478,779,1038,1259,1443,1597
52300,479,780,1040,1261,1445,1600
52400,480,782,1042,1263,1447,1603
52500,481,784,1043,1265,1450,1606
52600,483,786,1045,1268,1452,1609
52700,484,788,1047,1270,1455,1612
52800,485,789,1048,1272,1457,1614
52900,487,791,1050,1274,1459,1617
53000,488,793,1052,1276,1462,1620
53100,489,795,1054,1278,1464,1623
53200,490,796,1055,1280,1467,1625
53300,491,798,1057,1282,1469,1628
53400,492,800,1059,1284,1472,1631
53500,494,802,1060,1286,1474,1633
53600,495,803,1062,1288,1476,1636
53700,496,805,1064,1290,1479,1638
53800,497,807,1066,1292,1481,1641
53900,498,809,1067,1294,1484,1644
54000,499,810,1069,1296,1486,1646
54100,500,812,1071,1298,1488,1648
54200,501,813,1072,1300,1490,1651
54300,502,815,1074,1302,1493,1653
54400,502,817,1075,1304,1495,1656
54500,503,818,1077,1306,1497,1658
54600,504,820,1079,1308,1499,1661
54700,505,822,1080,1310,1501,1663
54800,506,823,1082,1312,1504,1666
54900,507,825,1083,1314,1506,1668
55000,508,827,1085,1316,1508,1671
55100,509,829,1087,1318,1510,1674
55200,510,830,1088,1320,1512,1676
55300,511,832,1090,1322,1515,1679
55400,511,834,1091,1324,1517,1681
55500,512,835,1093,1326,1519,1684
55600,513,837,1095,1328,1521,1686
55700,514,839,1096,1329,1523,1689
55800,515,840,1098,1331,1525,1691
55900,516,842,1100,1333,1528,1694
56000,517,844,1101,1335,1530,1696
56100,518,846,1103,1337,1532,1698
56200,519,847,1105,1339,1535,1701
56300,520,849,1107,1341,1537,1703
56400,521,851,1109,1343,1539,1706
56500,522,852,1111,1344,1541,1708
56600,523,854,1113,1346,1544,1711
56700,524,856,1115,1348,1546,1713
56800,525,858,1117,1350,1548,1715
56900,526,859,1118,1352,1550,1718
57000,527,861,1120,1354,1553,1720
57100,528,863,1122,1356,1555,1722
57200,529,864,1124,1358,1557,1725
57300,530,866,1126,1360,1560,1727
57400,531,868,1128,1362,1562,1730
57500,532,870,1130,1364,1564,1732
57600,533,871,1133,1366,1566,1735
57700,534,873,1135,1368,1569,1737
57800,535,875,1137,1370,1571,1740
57900,536,876,1139,1372,1573,1742
58000,536,878,1141,1374,1575,1745
58100,537,880,1143,1376,1577,1747
58200,538,881,1145,1378,1579,1750
58300,539,883,1147,1380,1582,1752
58400,540,885,1149,1382,1584,1755
58500,541,887,1151,1384,1586,1757
58600,542,888,1153,1386,1588,1760
58700,543,890,1155,1388,1591,1762
58800,544,892,1157,1390,1593,1765
58900,544,894,1159,1392,1595,1767
59000,545,895,1161,1393,1597,1770
59100,546,897,1163,1395,1599,1772
59200,547,898,1165,1397,1601,1775
59300,548,900,1167,1399,1604,1777
